Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
83,1,1^(-4.5^0),2,,,,,3^1
84,1,2^(-3^3),1,,,,,
85,1,1^(0^4.5),2,,,,,3^1
86,1,2^(3^3),1,,,,,
87,1,1^(4.5^0),2,,,,,3^1
88,1,2^(3^-3),1,,,,,
89,1,,2,,,,,3^1
90,1,1^(3^-3),1,,,,,
91,1,1^(3^3),2,,,,,3^1
96,1,1^(-3^3),1,,,,,4^1^(6^0)^(-9^2.5)
97,1,1^(-3^-3),1,,,,,4^1^(0^-6)^(-4^6)
98,1,,1,,,,,4^1^(0^6)^(4^-6)
99,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
100.5,1,,,,,,,5^1^(-5^4)^3
101,1,,,,,,,5^1^(0^-4)^3
101.5,1,1^(3^-3),,,,,,5^1^(5^4)^3
103,1,1^(3^3),,,,,,
104,1,1^(-3^3),1,,,,,4^1^(0^-6)^(-4^6)
105,1,1^(-3^-3),1,,,,,4^1^(0^6)^(4^-6)
106,1,2^(4^0),1,,,,,4^1^(-6^0)^(9^-2.5)
107,1,2^(-4^0),1,,,,,4^1^(6^0)^(-9^2.5)
108.5,1,1^(3^3),2,,,,,2^1^1^1
110,1,1^(-3^3),2,,,,,2^1^0^0
111,1,1^(-3^-3),,,,,,
112,1,1^(3^-3),1,,,,,4^1^(0^6)^(4^-6)
113,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
114,1,,1,,,,,4^1^(6^0)^(-9^2.5)
115,1,,1,,,,,4^1^(0^6)^(4^-6)
116.5,1,,,,,,,5^1^(5^4)^3
117,1,,,,,,,5^1^(0^-4)^3
117.5,1,1^(0^4.5),,,,,,5^1^(-5^4)^3
119,1,1^(4.5^0),,,,,,
120,1,1^(0^-4.5),1,,,,,1^1^(5^0)^(-9^-3)
120.5,,,,,,,,1^1^(5^0)^(-9^-1.5)
121,1,1^(-4.5^0),1,,,,,1^1^(5^0)^(-9^0)
121.5,,,,,,,,1^1^(5^0)^(-9^1.5)
122,1,1^(0^4.5),1,,,,,1^1^(0^-5)^(-6^5.5)
122.5,,,,,,,,1^1^(0^-5)^(-4^5.5)
123,1,1^(4.5^0),1,,,,,1^1^(0^-5)^(-2^5.5)
123.5,,,,,,,,1^1^(0^-5)^(0^5.5)
124,1,1^(0^-4.5),1,,,,,1^1^(-5^0)^(9^3)
124.5,,,,,,,,1^1^(-5^0)^(9^1.5)
125,1,1^(-3^-3),1,,,,,1^1^(-5^0)^(9^0)
125.5,,,,,,,,1^1^(-5^0)^(9^-1.5)
126,1,1^(3^-3),1,,,,,1^1^(0^5)^(6^-5.5)
126.5,,,,,,,,1^1^(0^5)^(4^-5.5)
127,1,1^(3^3),,,,,,1^1^(0^5)^(2^-5.5)
127.5,,,,,,,,1^1^(0^5)^(0^-5.5)
128,1,1^(-3^3),1,,,,,4^1^(6^0)^(-9^2.5)
129,1,,1,,,,,4^1^(0^-6)^(-4^6)
130,1,,1,,,,,4^1^(0^6)^(4^-6)
131,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
132.5,1,,,,,,,5^1^(-5^4)^3
133,1,,,,,,,5^1^(0^-4)^3
133.5,1,1^(3^-3),,,,,,5^1^(5^4)^3
135,1,1^(3^3),,,,,,
136,1,1^(-3^3),1,,,,,4^1^(0^-6)^(-4^6)
137,1,1^(-3^-3),1,,,,,4^1^(0^6)^(4^-6)
138,1,2^(4^0),1,,,,,4^1^(-6^0)^(9^-2.5)
139,1,2^(-4^0),1,,,,,4^1^(6^0)^(-9^2.5)
140.5,1,1^(3^3),2,,,,,2^1^1^1
142,1,1^(-3^3),2,,,,,2^1^0^0
143,1,1^(-3^-3),,,,,,
144,1,1^(3^-3),1,,,,,4^1^(0^6)^(4^-6)
145,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
146,1,,1,,,,,4^1^(6^0)^(-9^2.5)
147,1,,1,,,,,4^1^(0^6)^(4^-6)
148.5,1,,,,,,,5^1^(5^4)^3
149,1,,,,,,,5^1^(0^-4)^3
149.5,1,1^(0^4.5),,,,,,5^1^(-5^4)^3
151,1,1^(4.5^0),,,,,,
152,1,1^(0^-4.5),1,,,,,1^1^(5^0)^(-9^-3)
152.5,,,,,,,,1^1^(5^0)^(-9^-1.5)
153,1,1^(-4.5^0),1,,,,,1^1^(5^0)^(-9^0)
153.5,,,,,,,,1^1^(5^0)^(-9^1.5)
154,1,1^(0^4.5),1,,,,,1^1^(0^-5)^(-6^5.5)
154.5,,,,,,,,1^1^(0^-5)^(-4^5.5)
155,1,1^(4.5^0),1,,,,,1^1^(0^-5)^(-2^5.5)
155.5,,,,,,,,1^1^(0^-5)^(0^5.5)
156,1,1^(0^-4.5),1,,,,,1^1^(-5^0)^(9^3)
156.5,,,,,,,,1^1^(-5^0)^(9^1.5)
157,1,,1,,,,,1^1^(-5^0)^(9^0)
157.5,,,,,,,,1^1^(-5^0)^(9^-1.5)
158,1,1^(rand^rand),1,,,,,1^1^(0^5)^(6^-5.5)
158.5,,,,,,,,1^1^(0^5)^(4^-5.5)
159,1,,,,,,,1^1^(0^5)^(2^-5.5)
159.5,,,,,,,,1^1^(0^5)^(0^-5.5)
160,1,1^(rand^rand),1,,,,,
164,1,1^(rand^rand),1,,,,,
168,1,1^(rand^rand),1,,,,,
172,1,1^(rand^rand),1,,,,,
176,1,1^(rand^rand),1,,,,,
180,1,1^(rand^rand),1,,,,,
184,1,1^(rand^rand),1,,,,,
188,1,,1,,right,,,
192,1,,,2^(1^0)^64,,,,1^1^(-3^0)^(9^0)
192.75,1,,,,,,,1^1^(-3^0)^(9^-3)
193.5,1,,,,,,,1^1^(-3^0)^(9^3)
194.25,1,,,,,,,1^1^(-3^0)^(9^0)
195,1,,,,,,,1^1^(-3^0)^(9^-3)
195.75,1,,,,,,,1^1^(-3^0)^(9^3)
196.5,1,,,,,,,1^1^(-3^0)^(9^-3)
197.25,1,,,,,,,1^1^(-3^0)^(9^3)
198,1,,,,,,,1^1^(-3^0)^(9^0)
198.75,1,,,,,,,1^1^(-3^0)^(9^3)
199.5,1,,,,,,,1^1^(-3^0)^(9^-3)
200,1,,,,,,,1^1^(-3^0)^(9^0)
200.75,1,,,,,,,1^1^(-3^0)^(9^3)
201.5,1,,,,,,,1^1^(-3^0)^(9^-3)
202.25,1,,,,,,,1^1^(-3^0)^(9^0)
203,1,,,,,,,1^1^(-3^0)^(9^3)
203.75,1,,,,,,,1^1^(-3^0)^(9^-3)
204.5,1,,,,,,,1^1^(-3^0)^(9^0)
205.25,1,,,,,,,1^1^(-3^0)^(9^3)
206,1,,,,,,,1^1^(-3^0)^(9^-3)
206.75,1,,,,,,,1^1^(-3^0)^(9^3)
207.5,1,,,,,,,1^1^(-3^0)^(9^-3)
208,1,,,,,,,1^1^(-3^0)^(9^0)
208.75,1,,,,,,,1^1^(-3^0)^(9^-3)
209.5,1,,,,,,,1^1^(-3^0)^(9^3)
210.25,1,,,,,,,1^1^(-3^0)^(9^0)
211,1,,,,,,,1^1^(-3^0)^(9^-3)
211.75,1,,,,,,,1^1^(-3^0)^(9^3)
212.5,1,,,,,,,1^1^(-3^0)^(9^-3)
213.25,1,,,,,,,1^1^(-3^0)^(9^3)
214,1,,,,,,,1^1^(-3^0)^(9^0)
214.75,1,,,,,,,1^1^(-3^0)^(9^3)
215.5,1,,,,,,,1^1^(-3^0)^(9^-3)
216,1,,,,,,,1^1^(-3^0)^(9^0)
216.75,1,,,,,,,1^1^(-3^0)^(9^3)
217.5,1,,,,,,,1^1^(-3^0)^(9^-3)
218.25,1,,,,,,,1^1^(-3^0)^(9^0)
219,1,,,,,,,1^1^(-3^0)^(9^3)
219.75,1,,,,,,,1^1^(-3^0)^(9^-3)
220.5,1,,,,,,,1^1^(-3^0)^(9^0)
221.25,1,,,,,,,1^1^(-3^0)^(9^3)
222,1,,,,,,,1^1^(-3^0)^(9^-3)
222.75,1,,,,,,,1^1^(-3^0)^(9^3)
223.5,1,,,,,,,1^1^(-3^0)^(9^-3)
224,1,,,,,,,1^1^(-3^0)^(9^0)
224.75,1,,,,,,,1^1^(-3^0)^(9^-3)
225.5,1,,,,,,,1^1^(-3^0)^(9^3)
226.25,1,,,,,,,1^1^(-3^0)^(9^0)
227,1,,,,,,,1^1^(-3^0)^(9^-3)
227.75,1,,,,,,,1^1^(-3^0)^(9^3)
228.5,1,,,,,,,1^1^(-3^0)^(9^-3)
229.25,1,,,,,,,1^1^(-3^0)^(9^3)
230,1,,,,,,,1^1^(-3^0)^(9^0)
230.75,1,,,,,,,1^1^(-3^0)^(9^3)
231.5,1,,,,,,,1^1^(-3^0)^(9^-3)
232,1,,,,,,,1^1^(-3^0)^(9^0)
232.75,1,,,,,,,1^1^(-3^0)^(9^3)
233.5,1,,,,,,,1^1^(-3^0)^(9^-3)
234.25,1,,,,,,,1^1^(-3^0)^(9^0)
235,1,,,,,,,1^1^(-3^0)^(9^3)
235.75,1,,,,,,,1^1^(-3^0)^(9^-3)
236.5,1,,,,,,,1^1^(-3^0)^(9^0)
237.25,1,,,,,,,1^1^(-3^0)^(9^3)
238,1,,,,,,,1^1^(-3^0)^(9^-3)
238.75,1,,,,,,,1^1^(-3^0)^(9^3)
239.5,1,,,,,,,1^1^(-3^0)^(9^-3)
240,1,,,,,,,1^1^(-3^0)^(9^0)
240.75,1,,,,,,,1^1^(-3^0)^(9^-3)
241.5,1,,,,,,,1^1^(-3^0)^(9^3)
242.25,1,,,,,,,1^1^(-3^0)^(9^0)
243,1,,,,,,,1^1^(-3^0)^(9^-3)
243.75,1,,,,,,,1^1^(-3^0)^(9^3)
244.5,1,,,,,,,1^1^(-3^0)^(9^-3)
245.25,1,,,,,,,1^1^(-3^0)^(9^3)
246,1,,,,,,,1^1^(-3^0)^(9^0)
246.75,1,,,,,,,1^1^(-3^0)^(9^3)
247.5,1,,,,,,,1^1^(-3^0)^(9^-3)
248,1,,,,,,,1^1^(-3^0)^(9^0)
248.75,1,,,,,,,1^1^(-3^0)^(9^3)
249.5,1,,,,,,,1^1^(-3^0)^(9^-3)
250.25,1,,,,,,,1^1^(-3^0)^(9^0)
251,1,,,,,,,1^1^(-3^0)^(9^3)
251.75,1,,,,,,,1^1^(-3^0)^(9^-3)
252.5,1,,,,,,,1^1^(-3^0)^(9^0)
253.25,1,,,,,,,1^1^(-3^0)^(9^3)
254,1,,,,,,,1^1^(-3^0)^(9^-3)
254.75,1,,,,,,,1^1^(-3^0)^(9^3)
255.5,1,,,,,,,1^1^(-3^0)^(9^-3)
224,,,,,,,,3^1
224.75,,,,,,,,
225.5,,,,,,,,3^1
226.25,,,,,,,,
227,,,,,,,,3^1
227.75,,,,,,,,
228.5,,,,,,,,3^1
229.25,,,,,,,,
230,,,,,,,,3^1
230.75,,,,,,,,
231.5,,,,,,,,
232,,,,,,,,3^1
232.75,,,,,,,,
233.5,,,,,,,,3^1
234.25,,,,,,,,
235,,,,,,,,3^1
235.75,,,,,,,,
236.5,,,,,,,,3^1
237.25,,,,,,,,
238,,,,,,,,3^1
238.75,,,,,,,,
239.5,,,,,,,,
240,,,,,,,,3^1
240.75,,,,,,,,
241.5,,,,,,,,3^1
242.25,,,,,,,,
243,,,,,,,,3^1
243.75,,,,,,,,
244.5,,,,,,,,3^1
245.25,,,,,,,,
246,,,,,,,,3^1
246.75,,,,,,,,
247.5,,,,,,,,
248,,,,,,,,3^1
248.75,,,,,,,,
249.5,,,,,,,,3^1
250.25,,,,,,,,
251,,,,,,,,3^1
251.75,,,,,,,,
252.5,,,,,,,,3^1
253.25,,,,,,,,
254,,1^(0^4.5),,,,,,3^1
254.75,,2^(3^3),,,,,,
255.5,,1^(4.5^0),,,,,,
256,1,2^(3^-3),1,,,,,
257,1,1^(0^-4.5),2,,,,,3^1
258,1,2^(-3^-3),1,,,,,
259,1,1^(-4.5^0),2,,,,,3^1
260,1,2^(-3^3),1,,,,,
261,1,1^(0^4.5),2,,,,,3^1
262,1,2^(3^3),1,,,,,
263,1,1^(4.5^0),2,,,,,3^1
264,1,2^(3^-3),1,,,,,
265,1,1^(0^-4.5),2,,,,,3^1
266,1,2^(-3^-3),1,,,,,
267,1,1^(-4.5^0),2,,,,,3^1
268,1,2^(-3^3),1,,,,,
269,1,1^(0^4.5),2,,,,,3^1
270,1,2^(3^3),1,,,,,
271,1,1^(4.5^0),2,,,,,3^1
272,1,2^(3^-3),1,,,,,
273,1,1^(0^-4.5),2,,,,,3^1
274,1,2^(-3^-3),1,,,,,
275,1,1^(-4.5^0),2,,,,,3^1
276,1,2^(-3^3),1,,,,,
277,1,1^(0^4.5),2,,,,,3^1
278,1,2^(3^3),1,,,,,
279,1,1^(4.5^0),2,,,,,3^1
280,1,2^(3^-3),1,,,,,
281,1,,2,,,,,3^1
282,1,,1,,,,,
283,1,,2,,,,,3^1
284,1,1^(3^-3),,,,,,5^1^(-5^0)^2
285,1,1^(3^3),,,,,,5^1^(0^0)^2
286,1,1^(-3^3),,,,,,5^1^(5^0)^2
288,1,1^(-3^-3),1,,,,,4^1^(6^0)^(-9^2.5)
289,1,,1,,,,,4^1^(0^-6)^(-4^6)
290,1,,1,,,,,4^1^(0^6)^(4^-6)
291,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
292.5,1,,,,,,,5^1^(-5^4)^3
293,1,,,,,,,5^1^(0^-4)^3
293.5,1,1^(3^-3),,,,,,5^1^(5^4)^3
295,1,1^(3^3),,,,,,
296,1,1^(-3^3),1,,,,,4^1^(0^-6)^(-4^6)
297,1,1^(-3^-3),1,,,,,4^1^(0^6)^(4^-6)
298,1,2^(4^0),1,,,,,4^1^(-6^0)^(9^-2.5)
299,1,2^(-4^0),1,,,,,4^1^(6^0)^(-9^2.5)
300.5,1,1^(3^3),2,,,,,2^1^1^1
302,1,1^(-3^3),2,,,,,2^1^0^0
303,1,1^(-3^-3),,,,,,
304,1,1^(3^-3),1,,,,,4^1^(0^6)^(4^-6)
305,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
306,1,,1,,,,,4^1^(6^0)^(-9^2.5)
307,1,,1,,,,,4^1^(0^6)^(4^-6)
308.5,1,,,,,,,5^1^(5^4)^3
309,1,,,,,,,5^1^(0^-4)^3
309.5,1,1^(0^4.5),,,,,,5^1^(-5^4)^3
311,1,1^(4.5^0),,,,,,
312,1,1^(0^-4.5),1,,,,,1^1^(5^0)^(-9^-3)
312.5,,,,,,,,1^1^(5^0)^(-9^-1.5)
313,1,1^(-4.5^0),1,,,,,1^1^(5^0)^(-9^0)
313.5,,,,,,,,1^1^(5^0)^(-9^1.5)
314,1,1^(0^4.5),1,,,,,1^1^(0^-5)^(-6^5.5)
314.5,,,,,,,,1^1^(0^-5)^(-4^5.5)
315,1,1^(4.5^0),1,,,,,1^1^(0^-5)^(-2^5.5)
315.5,,,,,,,,1^1^(0^-5)^(0^5.5)
316,1,1^(0^-4.5),1,,,,,1^1^(-5^0)^(9^3)
316.5,,,,,,,,1^1^(-5^0)^(9^1.5)
317,1,1^(-3^-3),1,,,,,1^1^(-5^0)^(9^0)
317.5,,,,,,,,1^1^(-5^0)^(9^-1.5)
318,1,1^(3^-3),1,,,,,1^1^(0^5)^(6^-5.5)
318.5,,,,,,,,1^1^(0^5)^(4^-5.5)
319,1,1^(3^3),,,,,,1^1^(0^5)^(2^-5.5)
319.5,,,,,,,,1^1^(0^5)^(0^-5.5)
320,1,1^(-3^3),1,,,,,4^1^(6^0)^(-9^2.5)
321,1,,1,,,,,4^1^(0^-6)^(-4^6)
322,1,,1,,,,,4^1^(0^6)^(4^-6)
323,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
324.5,1,,,,,,,5^1^(-5^4)^3
325,1,,,,,,,5^1^(0^-4)^3
325.5,1,1^(3^-3),,,,,,5^1^(5^4)^3
327,1,1^(3^3),,,,,,
328,1,1^(-3^3),1,,,,,4^1^(0^-6)^(-4^6)
329,1,1^(-3^-3),1,,,,,4^1^(0^6)^(4^-6)
330,1,2^(4^0),1,,,,,4^1^(-6^0)^(9^-2.5)
331,1,2^(-4^0),1,,,,,4^1^(6^0)^(-9^2.5)
332.5,1,1^(3^3),2,,,,,2^1^1^1
334,1,1^(-3^3),2,,,,,2^1^0^0
335,1,1^(-3^-3),,,,,,
336,1,1^(3^-3),1,,,,,4^1^(0^6)^(4^-6)
337,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
338,1,,1,,,,,4^1^(6^0)^(-9^2.5)
339,1,,1,,,,,4^1^(0^6)^(4^-6)
340.5,1,,,,,,,5^1^(5^4)^3
341,1,,,,,,,5^1^(0^-4)^3
341.5,1,1^(0^4.5),,,,,,5^1^(-5^4)^3
343,1,1^(4.5^0),,,,,,
344,1,1^(0^-4.5),1,,,,,1^1^(5^0)^(-9^-3)
344.5,,,,,,,,1^1^(5^0)^(-9^-1.5)
345,1,1^(-4.5^0),1,,,,,1^1^(5^0)^(-9^0)
345.5,,,,,,,,1^1^(5^0)^(-9^1.5)
346,1,1^(0^4.5),1,,,,,1^1^(0^-5)^(-6^5.5)
346.5,,,,,,,,1^1^(0^-5)^(-4^5.5)
347,1,1^(4.5^0),1,,,,,1^1^(0^-5)^(-2^5.5)
347.5,,,,,,,,1^1^(0^-5)^(0^5.5)
348,1,1^(0^-4.5),1,,,,,1^1^(-5^0)^(9^3)
348.5,,,,,,,,1^1^(-5^0)^(9^1.5)
349,1,1^(-3^-3),1,,,,,1^1^(-5^0)^(9^0)
349.5,,,,,,,,1^1^(-5^0)^(9^-1.5)
350,1,1^(3^-3),1,,,,,1^1^(0^5)^(6^-5.5)
350.5,,,,,,,,1^1^(0^5)^(4^-5.5)
351,1,1^(3^3),,,,,,1^1^(0^5)^(2^-5.5)
351.5,,,,,,,,1^1^(0^5)^(0^-5.5)
352,1,1^(-3^3),1,,,,,4^1^(6^0)^(-9^2.5)
353,1,,1,,,,,4^1^(0^-6)^(-4^6)
354,1,,1,,,,,4^1^(0^6)^(4^-6)
355,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
356.5,1,,,,,,,5^1^(-5^4)^3
357,1,,,,,,,5^1^(0^-4)^3
357.5,1,1^(3^-3),,,,,,5^1^(5^4)^3
359,1,1^(3^3),,,,,,
360,1,1^(-3^3),1,,,,,4^1^(0^-6)^(-4^6)
361,1,1^(-3^-3),1,,,,,4^1^(0^6)^(4^-6)
362,1,2^(4^0),1,,,,,4^1^(-6^0)^(9^-2.5)
363,1,2^(-4^0),1,,,,,4^1^(6^0)^(-9^2.5)
364.5,1,1^(3^3),2,,,,,2^1^1^1
366,1,1^(-3^3),2,,,,,2^1^0^0
367,1,1^(-3^-3),,,,,,
368,1,1^(3^-3),1,,,,,4^1^(0^6)^(4^-6)
369,1,,1,,,,,4^1^(-6^0)^(9^-2.5)
370,1,,1,,,,,4^1^(6^0)^(-9^2.5)
371,1,,1,,,,,4^1^(0^6)^(4^-6)
372.5,1,,,,,,,5^1^(5^4)^3
373,1,,,,,,,5^1^(0^-4)^3
373.5,1,1^(0^4.5),,,,,,5^1^(-5^4)^3
375,1,1^(4.5^0),,,,,,
376,1,1^(0^-4.5),1,,,,,
377,1,1^(-4.5^0),1,,,,,
378,1,1^(0^4.5),1,,,,,
379,1,,1,,,,,
380,1,,1,,,,,
