Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
77.25,1,2^(0^-4),2,,,,,
78,1,2^(3.5^-3.5),2,,,,,
78.75,1,2^(6^0),2,,,,,
80,1,2^(3.5^3.5),2,,,,,
81,1,2^(0^4),2,,,,,
82,1,2^(-3.5^3.5),2,,,,,
83,1,2^(-6^0),2,,,,,
84.5,1,2^(-3.5^-3.5),2,,,,,
85.25,1,2^(0^4),2,,,,,
86,1,2^(3.5^3.5),2,,,,,
86.75,1,2^(6^0),2,,,,,
88,1,2^(3.5^-3.5),2,,,,,
89,1,2^(0^-4),2,,,,,
90,1,2^(-3.5^-3.5),2,,,,,
91,1,2^(-6^0),2,,,,,
92.5,1,2^(-3.5^3.5),2,,,,,
93.25,1,2^(0^-4),2,,,,,
94,1,2^(3.5^-3.5),2,,,,,
94.75,1,2^(6^0),2,,,,,
96,1,2^(3.5^3.5),2,,,,,
97,1,2^(0^4),2,,,,,
98,1,2^(-3.5^3.5),2,,,,,
99,1,2^(-6^0),2,,,,,
100.5,1,2^(-3.5^-3.5),2,,,,,
101.25,1,,2,,,,,
102,1,,2,,,,,
102.75,1,,2,,,,,
104,1,,,,,,,
105,1,,,,,,,5^1^(-4^0)^2
106,1,,,,,,,
107,1,,,,,,,5^1^(4^0)^2
108.5,1,,,,,,,
109.25,1,,,,,,,5^1^(-4^0)^2
110,1,,,,,,,
110.75,1,,,,,,,5^1^(4^0)^2
112,1,,,,,,,
113,1,,,,,,,5^1^(-4^0)^2
114,1,,,,,,,
115,1,,,,,,,5^1^(4^0)^2
116.5,1,,,,,,,
117.25,1,,,,,,,5^1^(-4^0)^2
118,1,,,,,,,
118.75,1,,,,,,,5^1^(4^0)^2
120,1,,,,,,,
121,1,,,,,,,5^1^(-4^0)^2
122,1,,,,,,,
123,1,,,,,,,5^1^(4^0)^2
124.5,1,,,,,,,
125.25,1,,,,,,,5^1^(-4^0)^2
126,1,,,,,,,
126.75,1,,,,,,,5^1^(4^0)^2
128,1,,,,,,,
129,1,,,,,,,5^1^(-4^0)^2
130,1,,,,,,,
131,1,,,,,,,5^1^(4^0)^2
132.5,1,,,,,,,
133.25,1,2^(0^0),,,,,,5^1^(-4^0)^2
134,1,2^(-4^4),,,,,,
134.75,1,2^(-8^0),,,,,,5^1^(4^0)^2
136,1,2^(-4^-4),2,,,,,
137,1,2^(0^0),2,,,,,5^1^(4^0)^2
138,1,2^(4^4),2,,,,,
139,1,2^(8^0),2,,,,,5^1^(-4^0)^2
140.5,1,2^(4^-4),2,,,,,
141.25,1,2^(0^0),2,,,,,5^1^(4^0)^2
142,1,2^(-4^4),2,,,,,
142.75,1,2^(-8^0),2,,,,,5^1^(-4^0)^2
144,1,2^(-4^-4),2,,,,,
145,1,2^(0^0),2,,,,,5^1^(4^0)^2
146,1,2^(4^4),2,,,,,
147,1,2^(8^0),2,,,,,5^1^(-4^0)^2
148.5,1,2^(4^-4),2,,,,,
149.25,1,2^(0^0),2,,,,,5^1^(4^0)^2
150,1,2^(-4^4),2,,,,,
150.75,1,2^(-8^0),2,,,,,5^1^(-4^0)^2
152,1,2^(-4^-4),2,,,,,
153,1,2^(0^0),2,,,,,5^1^(4^0)^2
154,1,2^(4^4),2,,,,,
155,1,2^(8^0),2,,,,,5^1^(-4^0)^2
156.5,1,2^(4^-4),2,,,,,
157.25,1,2^(0^0),2,,,,,5^1^(4^0)^2
158,1,2^(-4^4),2,,,,,
158.75,1,2^(-8^0),2,,,,,5^1^(-4^0)^2
160,1,2^(-4^-4),2,,,,,
161,1,2^(0^0),2,,,,,5^1^(4^0)^2
162,1,2^(4^4),2,,,,,
163,1,2^(8^0),2,,,,,5^1^(-4^0)^2
164.5,1,2^(4^-4),2,,,,,
165.25,1,2^(-6^4),2,,,,,5^1^(4^0)^2
166,1,2^(-2^4),2,,,,,
166.75,1,2^(2^4),2,,,,,5^1^(-4^0)^2
168,1,,2,,,,,
168.75,1,,2,,,,,
169.5,1,,2,,,,,
170,1,2^(6^-4),,,,,,5^1^(6^-4)^2
170.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
171,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
172,1,,2,,,,,
172.75,1,,2,,,,,
173.5,1,,2,,,,,
174,1,2^(-6^4),,,,,,5^1^(4^3)^2
174.5,1,2^(-2^4),,,,,,5^1^(2^-1)^2
175,1,2^(2^4),,,,,,5^1^(-6^-4)^2
176,1,,2,,,,,
176.75,1,,2,,,,,
177.5,1,,2,,,,,
178,1,2^(6^-4),,,,,,5^1^(6^-4)^2
178.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
179,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
180,1,,2,,,,,
180.75,1,,2,,,,,
181.5,1,,2,,,,,
182,1,2^(-6^4),,,,,,5^1^(4^3)^2
182.5,1,2^(-2^4),,,,,,5^1^(2^-1)^2
183,1,2^(2^4),,,,,,5^1^(-6^-4)^2
184,1,,2,,,,,
184.75,1,,2,,,,,
185.5,1,,2,,,,,
186,1,2^(6^-4),,,,,,5^1^(6^-4)^2
186.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
187,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
188,1,,2,,,,,
188.75,1,,2,,,,,
189.5,1,,2,,,,,
190,1,2^(-6^4),,,,,,5^1^(4^3)^2
190.5,1,2^(-2^4),,,,,,5^1^(2^-1)^2
191,1,2^(2^4),,,,,,5^1^(-6^-4)^2
192,1,,2,,,,,
192.75,1,,2,,,,,
193.5,1,,2,,,,,
194,1,2^(6^-4),,,,,,5^1^(6^-4)^2
194.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
195,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
196,1,,2,,,,,
196.75,1,,2,,,,,
197.5,1,,2,,,,,
198,1,,,,,,,5^1^(4^3)^2
198.75,1,,,,,,,5^1^(2^-1)^2
199.5,1,,,,,,,5^1^(-6^-4)^2
204,,,,,,,,
205,,2^(rand^rand),,,,,,
206,,2^(rand^rand),,,,,,
207,,2^(rand^rand),,,,,,
208,1,2^(rand^rand),2,,,,,
208,,2^(rand^rand),,,,,,
210.5,,,2,,,,,
211.5,,2^(rand^rand),2,,,,,
210.5,1,2^(rand^rand),2,,,,,
211.5,1,2^(rand^rand),2,,,,,
216,1,2^(rand^rand),2,,,,,
216,,2^(rand^rand),,,,,,
218.5,,,2,,,,,
219.5,,2^(rand^rand),2,,,,,
218.5,1,2^(rand^rand),2,,,,,
219.5,1,2^(rand^rand),2,,,,,
224,1,2^(rand^rand),2,,,,,
224,,2^(rand^rand),,,,,,
226.5,,,2,,,,,
227.5,,2^(rand^rand),2,,,,,
226.5,1,2^(rand^rand),2,,,,,
227.5,1,2^(rand^rand),2,,,,,
232,1,2^(rand^rand),2,,,,,
232,,2^(rand^rand),,,,,,
234.5,,,2,,,,,
235.5,,,2,,,,,
234.5,1,,2,,,,,
235.5,1,,2,,,,,
239,,2^(9^rand),,,right,,,
240,,,,2^(1.5^0)^29,,,,
241,1,2^(10^rand),2,,,,,
243,1,2^(10^rand),2,,,,,
245,1,2^(10^rand),2,,,,,
247,1,2^(10^rand),2,,,,,
249,1,2^(10^rand),2,,,,,
251,1,2^(10^rand),2,,,,,
253,1,2^(10^rand),2,,,,,
255,1,2^(10^rand),2,,,,,
257,1,2^(10^rand),2,,,,,
259,1,2^(10^rand),2,,,,,
261,1,2^(10^rand),2,,,,,
263,1,2^(10^rand),2,,,,,
265,1,2^(10^rand),2,,,,,
267,1,2^(10^rand),2,,,,,
269,1,,2,,,,,
270,,2^(0^4),2,,,,,
270.75,,2^(3.5^3.5),,,,,,
271,,2^(6^0),,,,,,
272,1,2^(3.5^-3.5),2,,,,,
273,1,2^(0^-4),2,,,,,
274,1,2^(-3.5^-3.5),2,,,,,
275,1,2^(-6^0),2,,,,,
276.5,1,2^(-3.5^3.5),2,,,,,
277.25,1,2^(0^-4),2,,,,,
278,1,2^(3.5^-3.5),2,,,,,
278.75,1,2^(6^0),2,,,,,
280,1,2^(3.5^3.5),2,,,,,
281,1,2^(0^4),2,,,,,
282,1,2^(-3.5^3.5),2,,,,,
283,1,2^(-6^0),2,,,,,
284.5,1,2^(-3.5^-3.5),2,,,,,
285.25,1,2^(0^4),2,,,,,
286,1,2^(3.5^3.5),2,,,,,
286.75,1,2^(6^0),2,,,,,
288,1,2^(3.5^-3.5),2,,,,,
289,1,2^(0^-4),2,,,,,
290,1,2^(-3.5^-3.5),2,,,,,
291,1,2^(-6^0),2,,,,,
292,1,2^(-3.5^3.5),2,,,,,
293,1,2^(0^-4),2,,,,,
294,1,2^(3.5^-3.5),2,,,,,
295,1,2^(6^0),2,,,,,
296,1,2^(3.5^3.5),2,,,,,
297,1,2^(0^0),2,,,,,
298,1,2^(4^4),2,,,,,
299,1,2^(8^0),2,,,,,
304,1,2^(4^-4),2,,,,,
305,1,2^(0^0),2,,,,,5^1^(-4^0)^2
306,1,2^(-4^4),2,,,,,
307,1,2^(-8^0),2,,,,,5^1^(4^0)^2
308.5,1,2^(-4^-4),2,,,,,
309.25,1,2^(0^0),2,,,,,5^1^(-4^0)^2
310,1,2^(4^4),2,,,,,
310.75,1,2^(8^0),2,,,,,5^1^(4^0)^2
312,1,2^(4^-4),2,,,,,
313,1,2^(0^0),2,,,,,5^1^(-4^0)^2
314,1,2^(-4^4),2,,,,,
315,1,2^(-8^0),2,,,,,5^1^(4^0)^2
316.5,1,2^(-4^-4),2,,,,,
317.25,1,2^(0^0),2,,,,,5^1^(-4^0)^2
318,1,2^(4^4),2,,,,,
318.75,1,2^(8^0),2,,,,,5^1^(4^0)^2
320,1,2^(4^-4),2,,,,,
321,1,2^(0^0),2,,,,,5^1^(-4^0)^2
322,1,2^(-4^4),2,,,,,
323,1,2^(-8^0),2,,,,,5^1^(4^0)^2
324.5,1,2^(-4^-4),2,,,,,
325.25,1,2^(0^0),2,,,,,5^1^(-4^0)^2
326,1,2^(4^4),2,,,,,
326.75,1,2^(8^0),2,,,,,5^1^(4^0)^2
328,1,2^(4^-4),2,,,,,
329,1,2^(0^0),2,,,,,5^1^(-4^0)^2
330,1,2^(-4^4),2,,,,,
331,1,2^(-8^0),2,,,,,5^1^(4^0)^2
332.5,1,2^(-4^-4),2,,,,,
333.25,1,2^(0^0),2,,,,,5^1^(-4^0)^2
334,1,2^(-4^4),2,,,,,
334.75,1,2^(-8^0),2,,,,,5^1^(4^0)^2
336,1,2^(-4^-4),2,,,,,
337,1,2^(0^0),2,,,,,5^1^(4^0)^2
338,1,2^(4^4),2,,,,,
339,1,2^(8^0),2,,,,,5^1^(-4^0)^2
340.5,1,2^(4^-4),2,,,,,
341.25,1,2^(0^0),2,,,,,5^1^(4^0)^2
342,1,2^(-4^4),2,,,,,
342.75,1,2^(-8^0),2,,,,,5^1^(-4^0)^2
344,1,2^(-4^-4),2,,,,,
345,1,2^(0^0),2,,,,,5^1^(4^0)^2
346,1,2^(4^4),2,,,,,
347,1,2^(8^0),2,,,,,5^1^(-4^0)^2
348.5,1,2^(4^-4),2,,,,,
349.25,1,2^(0^0),2,,,,,5^1^(4^0)^2
350,1,2^(-4^4),2,,,,,
350.75,1,2^(-8^0),2,,,,,5^1^(-4^0)^2
352,1,2^(-4^-4),2,,,,,
353,1,2^(0^0),2,,,,,5^1^(4^0)^2
354,1,2^(4^4),2,,,,,
355,1,2^(8^0),2,,,,,5^1^(-4^0)^2
356.5,1,2^(4^-4),2,,,,,
357.25,1,2^(0^0),2,,,,,5^1^(4^0)^2
358,1,2^(-4^4),2,,,,,
358.75,1,2^(-8^0),2,,,,,5^1^(-4^0)^2
360,1,2^(-4^-4),2,,,,,
361,1,2^(0^0),2,,,,,5^1^(4^0)^2
362,1,2^(4^4),2,,,,,
363,1,2^(8^0),2,,,,,5^1^(-4^0)^2
364.5,1,2^(4^-4),2,,,,,
365.25,1,2^(-6^4),2,,,,,5^1^(4^0)^2
366,1,2^(-2^4),2,,,,,
366.75,1,2^(2^4),2,,,,,5^1^(-4^0)^2
368,1,,2,,,,,
368.75,1,,2,,,,,
369.5,1,,2,,,,,
370,1,2^(6^-4),,,,,,5^1^(6^-4)^2
370.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
371,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
372,1,,2,,,,,
372.75,1,,2,,,,,
373.5,1,,2,,,,,
374,1,2^(-6^4),,,,,,5^1^(4^3)^2
374.5,1,2^(-2^4),,,,,,5^1^(2^-1)^2
375,1,2^(2^4),,,,,,5^1^(-6^-4)^2
376,1,,2,,,,,
376.75,1,,2,,,,,
377.5,1,,2,,,,,
378,1,2^(6^-4),,,,,,5^1^(6^-4)^2
378.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
379,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
380,1,,2,,,,,
380.75,1,,2,,,,,
381.5,1,,2,,,,,
382,1,2^(-6^4),,,,,,5^1^(4^3)^2
382.5,1,2^(-2^4),,,,,,5^1^(2^-1)^2
383,1,2^(2^4),,,,,,5^1^(-6^-4)^2
384,1,,2,,,,,
384.75,1,,2,,,,,
385.5,1,,2,,,,,
386,1,2^(6^-4),,,,,,5^1^(6^-4)^2
386.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
387,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
388,1,,2,,,,,
388.75,1,,2,,,,,
389.5,1,,2,,,,,
390,1,2^(-6^4),,,,,,5^1^(4^3)^2
390.5,1,2^(-2^4),,,,,,5^1^(2^-1)^2
391,1,2^(2^4),,,,,,5^1^(-6^-4)^2
392,1,,2,,,,,
392.75,1,,2,,,,,
393.5,1,,2,,,,,
394,1,2^(6^-4),,,,,,5^1^(6^-4)^2
394.5,1,2^(2^-4),,,,,,5^1^(-2^-1)^2
395,1,2^(-2^-4),,,,,,5^1^(-4^3)^2
396,1,,2,,,,,
396.75,1,,2,,,,,
397.5,1,,2,,,,,
398,1,,,,,,,5^1^(4^3)^2
398.75,1,,,,,,,5^1^(2^-1)^2
399.5,1,,,,,,,5^1^(-6^-4)^2
