Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
122.5,1,2^(5.5^2),2,,,,,
124,1,,2,,,,,
125,1,,2,,,,,
126.5,1,,2,,,,,
128,1,,2,,,,,
129,1,,2,,,,,
130.5,1,,2,,,,,
132,1,,,,,,,1^1^(-4^-2)^(9^5)
138,1,,,,,,,1^1^(4^-2)^(-9^5)
140,1,,,,,,,1^1^(4^2)^(-9^-5)
146,1,,,,,,,1^1^(-4^2)^(9^-5)
148,1,,,,,,,1^1^(6^0)^(-9^0)
154,1,,,,,,,1^1^(-6^0)^(9^0)
156,1,,,,,,,1^1^(0^-6)^(0^5.5)
162,1,,,,,,,1^1^(0^6)^(0^-5.5)
164,1,,,,,,,1^1^(-4^-2)^(9^5)
170,1,,,,,,,1^1^(4^-2)^(-9^5)
172,1,,,,,,,1^1^(4^2)^(-9^-5)
178,1,,,,,,,1^1^(-4^2)^(9^-5)
180,1,,,,,,,1^1^(6^0)^(-9^0)
186,1,,,,,,,1^1^(-6^0)^(9^0)
188,1,,,,,,,1^1^(0^-6)^(0^5.5)
194,,,,,,,,
196,1,,,,,,,1^1^(6^0)^(-9^1.5)
196.5,,,,,,,,1^1^(6^0)^(-9^0)
197,,,,,,,,1^1^(6^0)^(-9^-3)
197.5,,,,,,,,1^1^(6^0)^(-9^3)
200.5,,,,,,,,1^1^(0^-5)^(6^5.5)
201,,,,,,,,1^1^(0^-5)^(2^5.5)
201.5,,,,,,,,1^1^(0^-5)^(4^5.5)
202,1,,,,,,,1^1^(0^-5)^(0^5.5)
202.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
203,,,,,,,,1^1^(0^-5)^(-6^5.5)
204,1,,,,,,,1^1^(-6^0)^(9^-1.5)
204.5,,,,,,,,1^1^(-6^0)^(9^0)
205,,,,,,,,1^1^(-6^0)^(9^3)
205.5,,,,,,,,1^1^(-6^0)^(9^-3)
208.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
209,,,,,,,,1^1^(0^5)^(-2^-5.5)
209.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
210,1,,,,,,,1^1^(0^5)^(0^-5.5)
210.5,,,,,,,,1^1^(0^5)^(2^-5.5)
211,,,,,,,,1^1^(0^5)^(6^-5.5)
212,1,,,,,,,1^1^(6^0)^(-9^1.5)
212.5,,,,,,,,1^1^(6^0)^(-9^0)
213,,,,,,,,1^1^(6^0)^(-9^-3)
213.5,,,,,,,,1^1^(6^0)^(-9^3)
216.5,,,,,,,,1^1^(0^-5)^(6^5.5)
217,,,,,,,,1^1^(0^-5)^(2^5.5)
217.5,,,,,,,,1^1^(0^-5)^(4^5.5)
218,1,,,,,,,1^1^(0^-5)^(0^5.5)
218.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
219,,,,,,,,1^1^(0^-5)^(-6^5.5)
220,1,,,,,,,1^1^(-6^0)^(9^-1.5)
220.5,,,,,,,,1^1^(-6^0)^(9^0)
221,,,,,,,,1^1^(-6^0)^(9^3)
221.5,,,,,,,,1^1^(-6^0)^(9^-3)
224.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
225,,,,,,,,1^1^(0^5)^(-2^-5.5)
225.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
226,1,,,,,,,1^1^(0^5)^(0^-5.5)
226.5,,,,,,,,1^1^(0^5)^(2^-5.5)
227,,,,,,,,1^1^(0^5)^(6^-5.5)
228,1,,,,,,,1^1^(6^0)^(-9^1.5)
228.5,,,,,,,,1^1^(6^0)^(-9^0)
229,,,,,,,,1^1^(6^0)^(-9^-3)
229.5,,,,,,,,1^1^(6^0)^(-9^3)
232.5,,,,,,,,1^1^(0^-5)^(6^5.5)
233,,,,,,,,1^1^(0^-5)^(2^5.5)
233.5,,,,,,,,1^1^(0^-5)^(4^5.5)
234,1,,,,,,,1^1^(0^-5)^(0^5.5)
234.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
235,,,,,,,,1^1^(0^-5)^(-6^5.5)
236,1,,,,,,,1^1^(-6^0)^(9^-1.5)
236.5,,,,,,,,1^1^(-6^0)^(9^0)
237,,,,,,,,1^1^(-6^0)^(9^3)
237.5,,,,,,,,1^1^(-6^0)^(9^-3)
240.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
241,,,,,,,,1^1^(0^5)^(-2^-5.5)
241.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
242,1,,,,,,,1^1^(0^5)^(0^-5.5)
242.5,,,,,,,,1^1^(0^5)^(2^-5.5)
243,,,,,,,,1^1^(0^5)^(6^-5.5)
244,1,,,,,,,1^1^(6^0)^(-9^1.5)
244.5,,,,,,,,1^1^(6^0)^(-9^0)
245,,,,,,,,1^1^(6^0)^(-9^-3)
245.5,,,,,,,,1^1^(6^0)^(-9^3)
248.5,,,,,,,,1^1^(0^-5)^(6^5.5)
249,,,,,,,,1^1^(0^-5)^(2^5.5)
249.5,,,,,,,,1^1^(0^-5)^(4^5.5)
250,1,,,,,,,1^1^(0^-5)^(0^5.5)
250.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
251,,,,,,,,1^1^(0^-5)^(-6^5.5)
252,1,,,,,,,1^1^(-6^0)^(9^-1.5)
252.5,,,,,,,,1^1^(-6^0)^(9^0)
253,,,,,,,,1^1^(-6^0)^(9^3)
253.5,,,,,,,,1^1^(-6^0)^(9^-3)
256.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
257,,,,,,,,1^1^(0^5)^(-2^-5.5)
257.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
258,1,,,,,,,1^1^(0^5)^(0^-5.5)
258.5,,,,,,,,1^1^(0^5)^(2^-5.5)
259,,,,,,,,1^1^(0^5)^(6^-5.5)
260,1,,,,,,,
268,1,,,,,,,1^1^(-4^-2)^(9^5)
274,1,,,,,,,1^1^(4^-2)^(-9^5)
276,1,,,,,,,1^1^(4^2)^(-9^-5)
282,1,,,,,,,1^1^(-4^2)^(9^-5)
284,1,,,,,,,1^1^(6^0)^(-9^0)
290,1,,,,,,,1^1^(-6^0)^(9^0)
292,1,,,,,,,1^1^(0^-6)^(0^5.5)
298,1,,,,,,,1^1^(0^6)^(0^-5.5)
300,1,,,,,,,1^1^(-4^-2)^(9^5)
306,1,,,,,,,1^1^(4^-2)^(-9^5)
308,1,,,,,,,1^1^(4^2)^(-9^-5)
314,1,,,,,,,1^1^(-4^2)^(9^-5)
316,1,,,,,,,1^1^(6^0)^(-9^0)
322,1,,,,,,,1^1^(-6^0)^(9^0)
324,1,,,,,,,1^1^(0^-6)^(0^5.5)
330,1,2^(8^rand),,,right,,,1^1^(0^6)^(0^-5.5)
331,,2^(10^rand),,,,,,
332,1,2^(10^rand),2,2^(2^0)^64,,,,
333,1,2^(10^rand),2,,,,,
334,1,2^(10^rand),2,,,,,
335,1,2^(10^rand),2,,,,,
336,1,2^(10^rand),2,,,,,
337,1,2^(10^rand),2,,,,,
338,1,2^(10^rand),2,,,,,
339,1,2^(10^rand),2,,,,,
340,1,2^(10^rand),2,,,,,
341,1,2^(10^rand),2,,,,,
342,1,2^(10^rand),2,,,,,
343,1,2^(10^rand),2,,,,,
344,1,2^(10^rand),2,,,,,
345,1,2^(10^rand),2,,,,,
346,1,2^(10^rand),2,,,,,
347,1,2^(10^rand),2,,,,,
348,1,2^(10^rand),2,,,,,
349,1,2^(10^rand),2,,,,,
350,1,2^(10^rand),2,,,,,
351,1,2^(10^rand),2,,,,,
352,1,2^(10^rand),2,,,,,
353,1,2^(10^rand),2,,,,,
354,1,2^(10^rand),2,,,,,
355,1,2^(10^rand),2,,,,,
356,1,2^(10^rand),2,,,,,
357,1,2^(10^rand),2,,,,,
358,1,2^(10^rand),2,,,,,
359,1,2^(10^rand),2,,,,,
360,1,2^(10^rand),2,,,,,
361,1,2^(10^rand),2,,,,,
362,1,,2,,,,,
363,1,,2,,,,,
364,1,,,,,,,1^1^(-3^0)^(12^4.5)
365,1,,,,,,,1^1^(-3^0)^(12^1.5)
366,1,,,,,,,1^1^(-3^0)^(12^-4.5)
367,1,,,,,,,1^1^(-3^0)^(12^3)
368,1,,,,,,,1^1^(-3^0)^(12^-3)
369,1,,,,,,,1^1^(-3^0)^(12^1.5)
370,1,,,,,,,1^1^(-3^0)^(12^-1.5)
371,1,,,,,,,1^1^(-3^0)^(12^3)
372,1,,,,,,,1^1^(-3^0)^(12^4.5)
373,1,,,,,,,1^1^(-3^0)^(12^-3)
374,1,,,,,,,1^1^(-3^0)^(12^0)
375,1,,,,,,,1^1^(-3^0)^(12^1.5)
376,1,,,,,,,1^1^(-3^0)^(12^-1.5)
377,1,,,,,,,1^1^(-3^0)^(12^3)
378,1,,,,,,,1^1^(-3^0)^(12^4.5)
379,1,,,,,,,1^1^(-3^0)^(12^0)
380,1,,,,,,,1^1^(-3^0)^(12^-1.5)
381,1,,,,,,,1^1^(-3^0)^(12^1.5)
382,1,,,,,,,1^1^(-3^0)^(12^3)
383,1,,,,,,,1^1^(-3^0)^(12^0)
384,1,,,,,,,1^1^(-3^0)^(12^-3)
385,1,,,,,,,1^1^(-3^0)^(12^-4.5)
386,1,,,,,,,1^1^(-3^0)^(12^3)
387,1,,,,,,,1^1^(-3^0)^(12^0)
388,1,,,,,,,1^1^(-3^0)^(12^-3)
389,1,,,,,,,1^1^(-3^0)^(12^1.5)
390,1,,,,,,,1^1^(-3^0)^(12^3)
391,1,,,,,,,
392,1,,,,,,,
393,1,,,,,,,
394,1,,,,,,,
395,,,,,,,,
396,,,,,,,,1^1^(-12^0)^(9^-1.5)
396,,,,,,,,1^1^(-12^0)^(9^4.5)
396,,,,,,,,1^1^(-12^0)^(9^-4.5)
396,,,,,,,,1^1^(-12^0)^(9^1.5)
396,,,,,,,,1^1^(-12^0)^(9^0)
396,,,,,,,,1^1^(-12^0)^(9^-3)
396,,,,,,,1.8,1^1^(-12^0)^(9^3)
396.5,,,,,,,0.5,
397,,,,,,,0.2,
397.5,,,,,,,0.1,
398.8,,,,,,,3,
399,1,,,,,,,
400.5,,,,,,,1,1^1^(0^-5)^(6^5.5)
401,,,,,,,,1^1^(0^-5)^(2^5.5)
401.5,,,,,,,,1^1^(0^-5)^(4^5.5)
402,1,,,,,,,1^1^(0^-5)^(0^5.5)
402.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
403,,,,,,,,1^1^(0^-5)^(-6^5.5)
404,1,,,,,,,1^1^(-6^0)^(9^-1.5)
404.5,,,,,,,,1^1^(-6^0)^(9^0)
405,,,,,,,,1^1^(-6^0)^(9^3)
405.5,,,,,,,,1^1^(-6^0)^(9^-3)
408.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
409,,,,,,,,1^1^(0^5)^(-2^-5.5)
409.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
410,1,,,,,,,1^1^(0^5)^(0^-5.5)
410.5,,,,,,,,1^1^(0^5)^(2^-5.5)
411,,,,,,,,1^1^(0^5)^(6^-5.5)
412,1,,,,,,,1^1^(6^0)^(-9^1.5)
412.5,,,,,,,,1^1^(6^0)^(-9^0)
413,,,,,,,,1^1^(6^0)^(-9^-3)
413.5,,,,,,,,1^1^(6^0)^(-9^3)
416.5,,,,,,,,1^1^(0^-5)^(6^5.5)
417,,,,,,,,1^1^(0^-5)^(2^5.5)
417.5,,,,,,,,1^1^(0^-5)^(4^5.5)
418,1,,,,,,,1^1^(0^-5)^(0^5.5)
418.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
419,,,,,,,,1^1^(0^-5)^(-6^5.5)
420,1,,,,,,,1^1^(-6^0)^(9^-1.5)
420.5,,,,,,,,1^1^(-6^0)^(9^0)
421,,,,,,,,1^1^(-6^0)^(9^3)
421.5,,,,,,,,1^1^(-6^0)^(9^-3)
424.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
425,,,,,,,,1^1^(0^5)^(-2^-5.5)
425.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
426,1,,,,,,,1^1^(0^5)^(0^-5.5)
426.5,,,,,,,,1^1^(0^5)^(2^-5.5)
427,,,,,,,,1^1^(0^5)^(6^-5.5)
428,1,,,,,,,1^1^(6^0)^(-9^1.5)
428.5,,,,,,,,1^1^(6^0)^(-9^0)
429,,,,,,,,1^1^(6^0)^(-9^-3)
429.5,,,,,,,,1^1^(6^0)^(-9^3)
432.5,,,,,,,,1^1^(0^-5)^(6^5.5)
433,,,,,,,,1^1^(0^-5)^(2^5.5)
433.5,,,,,,,,1^1^(0^-5)^(4^5.5)
434,1,,,,,,,1^1^(0^-5)^(0^5.5)
434.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
435,,,,,,,,1^1^(0^-5)^(-6^5.5)
436,1,,,,,,,1^1^(-6^0)^(9^-1.5)
436.5,,,,,,,,1^1^(-6^0)^(9^0)
437,,,,,,,,1^1^(-6^0)^(9^3)
437.5,,,,,,,,1^1^(-6^0)^(9^-3)
440.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
441,,,,,,,,1^1^(0^5)^(-2^-5.5)
441.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
442,1,,,,,,,1^1^(0^5)^(0^-5.5)
442.5,,,,,,,,1^1^(0^5)^(2^-5.5)
443,,,,,,,,1^1^(0^5)^(6^-5.5)
444,1,,,,,,,1^1^(6^0)^(-9^1.5)
444.5,,,,,,,,1^1^(6^0)^(-9^0)
445,,,,,,,,1^1^(6^0)^(-9^-3)
445.5,,,,,,,,1^1^(6^0)^(-9^3)
448.5,,,,,,,,1^1^(0^-5)^(6^5.5)
449,,,,,,,,1^1^(0^-5)^(2^5.5)
449.5,,,,,,,,1^1^(0^-5)^(4^5.5)
450,1,,,,,,,1^1^(0^-5)^(0^5.5)
450.5,,,,,,,,1^1^(0^-5)^(-2^5.5)
451,,,,,,,,1^1^(0^-5)^(-6^5.5)
452,1,,,,,,,1^1^(-6^0)^(9^-1.5)
452.5,,,,,,,,1^1^(-6^0)^(9^0)
453,,,,,,,,1^1^(-6^0)^(9^3)
453.5,,,,,,,,1^1^(-6^0)^(9^-3)
456.5,,,,,,,,1^1^(0^5)^(-6^-5.5)
457,,,,,,,,1^1^(0^5)^(-2^-5.5)
457.5,,,,,,,,1^1^(0^5)^(-4^-5.5)
458,1,,,,,,,1^1^(0^5)^(0^-5.5)
458.5,,,,,,,,1^1^(0^5)^(2^-5.5)
459,,,,,,,,1^1^(0^5)^(6^-5.5)
460,1,,,,,,,
